キーワード,,,,,,,,,,,,,,,,,
企業名,オルツ,ABEJA,エイブリッジ,オプティム,ブレインパッド,Vareal,MatrixFlow,Fusic,AI総研,エクサウィザーズ,Laboro.AI,AVILEN,langcore,,,,
URL,https://alt.ai/,https://www.abejainc.com/,https://abridge-co.jp/,https://www.optim.co.jp/,https://www.brainpad.co.jp/,https://www.vareal.co.jp/,https://www.matrixflow.net/,https://fusic.co.jp/,https://www.ai-souken.com/,https://exawizards.com/,https://laboro.ai/,https://avilen.jp/,https://corp.langcore.org/,weel,FRONTEO,ギブリー,ELYZA
本社住所,東京都港区六本木7-15-7 新六本木ビル （SENQ六本木 402）,東京都港区（具体的な住所は公開されていません）,〒900-0006 沖縄県那覇市おもろまち4-6-6 前原ビル201,〒105-0022 東京都港区海岸1丁目2番20号 汐留ビルディング18階,エラー: Dify APIの呼び出しに失敗しました。,福岡県福岡市中央区天神2丁目10-13 天神コアビル5階,東京都台東区（詳細な住所は公開されていません）,福岡県福岡市中央区天神4-1-7 第3明星ビル6F,東京都（具体的な住所は不明）,東京都港区芝浦4丁目2番8号,東京都中央区銀座八丁目11-1,東京都中央区日本橋馬喰町2-3-3 秋葉原ファーストスクエア9階,- 本社住所は情報源に記載されていません。,https://weel.co.jp/,https://www.fronteo.com/,https://givery.co.jp/,https://elyza.ai/
電話番号,03-6380-7076,公開されていません,098-943-6596,電話番号は公開されていません。,03-6721-7001,092-419-2498,電話番号は公開されていません。,092-737-2616,不明,電話番号は、baseconnect.in の企業データベースで確認できます。,公開されていません,電話番号の情報は公開されていません。,- 本社電話番号は情報源に記載されていません。,〒161-0033 東京都新宿区下落合4丁目26番12-201号,東京都港区虎ノ門1-2-1 虎ノ門ヒルズ森タワー11階,東京都渋谷区南平台町15-13 帝都渋谷ビル8階,〒113-0033 東京都文京区本郷
社長,米倉 千貴,岡田 陽介,石垣 ヨ用順,菅谷 俊二,関口氏,寺本 昌弘,田本芳文氏,納富 貞嘉,不明,春田 真,椎橋徹夫,高橋 光太郎,- 高木氏 (共同代表取締役・COO),050-1745-6451,03-5774-8100,03-5389-7188,電話番号情報は公開されていません。
事業１,P.A.I.（パーソナル人工知能）『alt（オルツ）』の開発・提供,デジタルプラットフォーム事業,アプリ開発,モバイルマネジメントサービス,データ活用支援,ソフトウェア開発,AI活用プラットフォーム「MatrixFlow」の提供,クラウドインテグレーション,AI関連製品・サービス紹介,AIプラットフォーム事業 (exaBase事業),カスタムAI開発,AI導入支援,- 生成AIコンサルティング,宮川 樹生,守本正宏,井手 高志,曽根岡 侑也
事業１の説明,個人の能力を拡張するパーソナルAIの開発・提供を行っています。AIクローン技術を用いて、個人の思考や行動パターンを学習し、その人の代わりに作業を実行したり、意思決定を支援したりするAIを開発しています。,"ABEJA PlatformというAIプラットフォームを基盤とした、顧客企業のデジタル変革を支援する事業。生成AIの活用にも力を入れています。
* **フルマネージドサービス:** 顧客企業の基幹業務にAIシステムをシームレスに導入し、DXを実現するビジネスプロセスをフルマネージドで提供しています。
* **EMS（Electronics Manufacturing Service）に類似したビジネスモデル:** ABEJA Platformを基盤として、顧客企業のニーズに合わせたAIシステムの設計、開発、導入、運用までをワンストップで提供しています。",スマートフォン向けアプリや社内用アプリなど、様々なアプリの開発に対応しています。飲食、美容、ホテル業界など向けに販売管理システムや顧客管理システムの開発・導入を行っています。,"国内シェアNo.1のMDMサービス「Optimal Biz」を提供しています。オフィス利用だけでなく、フィールドワーカーの業務効率化にも活用されています。Optimal Bizは、デバイスの管理・セキュリティ機能に加えて、アプリ配信、コンテンツ管理、ユーザー管理、業務効率化機能などを提供しています。
主な顧客層としては、従業員が社外でモバイルデバイスを利用する機会が多い企業や、セキュリティ対策を強化したい企業などが挙げられます。","顧客企業のデータを活用した経営改善を支援。具体的には、データ分析による売上向上や顧客獲得、業務効率化、新規事業開発などを支援しています。
例えば、小売業界では、顧客購買データ分析に基づいた販売促進施策の提案や、在庫管理システムの最適化などを支援しています。
また、製造業では、生産計画の最適化や品質管理の改善、IoTデータ分析による設備の予知保全などを支援しています。","* RubyとRuby on Railsに特化したソフトウェア開発
* AI関連サービス: データ活用と機械学習を用いたビジネスの着実な深化を支援","* ノーコードで誰でも簡単にAIを構築・運用できるプラットフォーム。
* ドラッグ＆ドロップ操作で、機械学習や深層学習モデルを構築可能。
* 前処理を含む学習データの処理も容易に行えます。
* クラウドベースで提供され、環境構築の手間が不要。
* 無料プランと有料プランがあり、様々なニーズに対応。
* 登録者数は2023年2月9日時点で5,000人を突破。",クラウドサービスの導入・構築、システム連携、運用保守などを支援する事業。,AI総合研究所は、AI関連製品・サービスの問い合わせやパートナー企業の紹介を完全無料で提供しています。問い合わせフォームはウェブサイトに掲載されており、相談したい内容を詳細に記述して送信することで、AI総合研究所が適切な情報やパートナー企業を紹介してくれます。また、AI関連の最新情報やトレンドについても提供しており、企業のAI導入を支援しています。,"* 顧客の課題解決をプロジェクト型で推進する。
* 大規模言語モデル「tsuzumi」を活用したソリューション構築など、NTTグループとの連携も強化している。
* 2023年5月10日には、「exaBase DXアセスメント」というサービスを開始しました。このサービスは、企業のDX推進を支援するもので、AIを活用して企業の現状分析や課題発見、そして最適なDX戦略の策定を支援します。
* ExaWizardsの「exaBase 生成AI」は、OpenAIが提供する最新の基盤モデル「GPT-4 Turbo」に対応しました。これにより、exaBase 生成AIは、1度に処理できるトークン量が大幅に拡大し、長文のコンテキストに対応できるようになりました。また、2023年4月時点の最新の学習データで利用できるようになりました。
* エクサウィザーズの「exaBase 生成AI」は、OpenAIが提供する最新の基盤モデル「GPT-4o」に対応しました。これにより、exaBase 生成AIは、現在採用している「GPT-4 Turbo」に比べて高速かつ高精度なレスポンスが期待できるほか、画像を読み込んで認識・分析が可能になりました。","Laboro.AIは、顧客のニーズに合わせたAIモデルを設計・開発し、顧客のビジネス課題解決に特化したAIソリューションを提供しています。
例えば、味の素株式会社に対して、AIが料理のレシピデータを組み合せ、ユーザーのニーズを満たす献立を作成する「献立作成エンジン」を開発しました。
また、気象庁気象研究所と共同で、「AIを用いたリアルタイム防災フィールド構築」の研究開発を進めています。","- AI導入の企画・推進に関する研修を提供
- ChatGPTアイデアソンなどを通じて業務改革支援
- 実践型オンライン研修を実施し、AI活用に関する知識習得と実践力を養成","- 月額20万円からの生成AIコンサルティングを提供
- 生成AI活用のためのアドバイスやシステム開発を提供
- 2023年11月より、生成AIを用いた新規事業におけるMVP開発パッケージを提供開始。ミニマムの費用で価値検証が可能な開発パッケージ
- 2023年8月4日プレスリリースで、ChatGPTを活用したキャリア相談サービスを開始。株式会社フォワードとの提携",AI導入コンサルティング,ライフサイエンス,HR Tech,日本語特化型大規模言語モデル（LLM）「ELYZA Brain」の開発・提供
事業２,AI受託開発全般,生成AIコンサルティング,システム開発,DXサービス事業,SaaS製品提供,DX支援,AI受託開発・コンサルティング,AI,AI故人復活サービス,AIプロダクト事業,AI活用コンサルティング,AI技術実装ソリューション,- 生成AIを活用したプロダクト受託開発,"企業の課題解決に最適なAIソリューションを提案し、導入を支援しています。
AI導入の全体設計から、PoC検証、開発、運用まで、幅広いサービスを提供しています。
顧客のビジネス課題やニーズを深く理解し、最適なAI活用方法を提案することで、顧客の事業成長に貢献しています。
具体的な事例として、以下のようなサービスがあります。
- AIを活用した業務効率化コンサルティング
- AIを活用した顧客満足度向上コンサルティング
- AIを活用した新規事業開発コンサルティング","- 医療の質向上に貢献するため、AI創薬支援事業「Drug Discovery AI Factory」を展開しています。
- 創薬研究のあらゆる面をAIで支援することで、創薬研究開発にイノベーションをもたらしています。
- 創薬研究の初期段階におけるターゲット探索、リード化合物探索、薬効評価、安全性評価などのプロセスを支援します。
- 膨大なデータの中から、創薬に役立つ情報を効率的に発見・分析することで、創薬期間の短縮と成功率の向上に貢献します。","- テクノロジー人材の採用・育成・評価支援サービスを提供
- 採用活動の効率化、人材育成プログラムの開発、従業員のエンゲージメント向上を支援
- 人材不足解消や従業員の能力開発に貢献",ELYZA Brainは、国内最大の日本語テキストデータで学習しており、国内最大の日本語AIエンジンと言われています。ELYZA Brainは、自然言語処理、機械翻訳、文章要約、質問応答など、様々な用途に利用されています。
事業２の説明,企業向けにAIシステムの受託開発を行っています。音声認識、自然言語処理、画像認識など、様々なAI技術を用いて、企業の課題解決に貢献するシステムを開発しています。,"生成AIに関するコンサルティングサービスを提供。
* **生成AI未来創造戦略立案・実装**
* **生成AIガバナンスデザイン・マネジメント**
* **生成AIの取り組み事例と躓きポイントに関するコンサルティング**",飲食、美容、ホテル業界など向けに販売管理システムや顧客管理システムの開発・導入を行っています。近年では、教育事業や医療部門に注力しており、社会ニーズに対応した事業展開を進めています。,"モバイルマネジメントサービスで培ったID管理やデバイス管理のセキュリティ技術を基盤に、様々な産業領域のDXを推進するサービスを展開しています。具体的には、以下のようなサービスを提供しています。
* 農業DX: スマートアグリフードプロジェクト、ピンポイント農薬散布・施肥テクノロジー、播種、施肥、防除や除草など幅広い対応を可能とするサービスを提供。
* 医療DX: 手術支援ロボットシステムのネットワークサポートシステム、オンライン診療プラットフォーム、薬局向けサービス、訪問看護のマーケットに向けた遠隔診療プラットフォームを展開。
* 建設・土木DX: スマートフォンで手軽に3D測量ができる「OPTiM Geo Scan」、高精度LiDARセンサーを活用した「OPTiM Geo Scan Advance」を提供。
* 映像管理DX: AIによる映像や画像の解析技術を活用した防災・セキュリティ、顧客接点DXなど。
* 顧客接点DX: モバイルオーダー、クーポン配信、顧客との繋がりを強化する「OPTiM Digital Marketing」、行政版スーパーアプリなど。","実用的なSaaS製品群を提供し、顧客体験向上を支援。具体的には、データ分析プラットフォーム、マーケティングオートメーションツール、顧客関係管理システムなどを提供しています。
自社開発製品に加え、海外の優れたSaaS製品も導入しており、顧客企業のニーズに合わせた最適な製品を提供しています。","* ビジネスデザイン: 企業の課題を分析し、目的と目標を定めます。
* 戦略策定: 目標達成のための戦略を立案します。
* システム設計・開発:  必要なシステムを設計、開発します。
* データ分析: データ分析に基づいた課題解決策を提案します。
* AI開発: AI技術を活用したソリューションを提供します。
* 運用・保守: 開発したシステムの運用・保守を行います。","* 顧客のニーズに合わせたAIシステムの開発や導入支援を行う。
* AI導入の企画・設計から開発・運用まで、ワンストップでサポート。
* 顧客のビジネス課題を解決するためのAI活用方法を提案。",AI技術を用いたデータ分析、予測モデル構築、自動化ソリューションを提供する事業。,AI故人復活サービスは、故人の写真、音声、記録などから、その故人の性格、声、動画を復活させるサービスです。遺族のグリーフケアの一環として提供されており、故人を偲ぶ新しい方法として注目されています。AI技術を活用することで、故人の思い出をより鮮やかに蘇らせることができます。,"* AIを活用したプロダクトサービスを提供する。
* CareWiz企画部や株式会社VisionWizなど、複数の部門で事業展開している。
* 介護施設向けAIシステム、人事採用支援システム、金融サービス向けAIシステム、医療データ分析システム、セキュリティ対策システムなど、幅広い業界に事業展開している。","Laboro.AIは、AI導入に関するコンサルティングを提供し、顧客のビジネスに最適なAI活用戦略を策定します。
顧客の新規製品・サービスの創出、及びビジネスモデル変革へのAI技術活用を支援しています。",- AIによる業務プロセスの代替、分析・予測の高精度化、顧客体験向上など、ビジネス課題解決のためのAIソリューション開発,"- ChatGPT APIなど、最新の生成AI技術を用いたプロダクト開発を行う
- LangCore SaaSによるMVP開発期間短縮: 頻繁に開発する機能やダッシュボード等の画面をLangCore SaaSとして共通基盤化することで、MVP開発期間を1週間程度に短縮できることを発表
- ChatGPT APIを活用したプロダクト開発: 生成AIを活用したプロダクト開発の受託を積極的に行っている",AI開発,リーガルテック,Marketing DX,パートナープログラムNLP30
事業３,SaaSプロダクトの開発・提供,AI関連技術の研究開発,海外オフショア開発,電子帳簿保存法対応サービス,コンサルティング,エンジェル投資・資金調達支援,人材募集,IoT,AI技術を活用した遺族向けのサービス,情報なし,AI開発における認証取得,法人顧客セールス効率化ソリューション,- 生成AI活用のコンサルティング,"AIアルゴリズムのPoC検証や開発、AIを活用したシステム開発などを行っています。
AI技術を用いて、顧客のビジネス課題を解決するためのソリューション開発を行っています。
具体的な開発実績として、以下のようなものがあります。
- AIチャットボット開発
- AI画像認識システム開発
- AIデータ分析システム開発","- eディスカバリ、デジタルフォレンジック調査のパイオニア企業として、自社開発のAIエンジンを活用したサービスを提供しています。
- 国際訴訟、不正調査をはじめとした企業の有事対応や平時監査をリーガルテックAIで支援し、法的リスクの軽減に貢献しています。
- 文書レビューや証拠開示、電子証拠保全などの業務を効率化することで、訴訟コストの削減や迅速な対応を実現します。
- AIによるテキスト分析やデータマイニング技術を活用し、膨大な文書データから重要な情報を抽出し、証拠発見を支援します。","- 企業のマーケティング活動をデジタル化し、効率化、効果最大化を支援
- デジタルマーケティング戦略策定、Webサイト構築、SEO対策、広告運用など幅広いサービスを提供
- ターゲット顧客へのリーチ拡大、顧客エンゲージメント強化、売上向上に貢献",企業との事業共創プログラムを通じて、ELYZA Brainを活用した様々なサービス開発を支援しています。例えば、損保ジャパンとの共同研究では、損害保険事業における顧客サービス向上や、安心・安全・健康に関するサービス開発にELYZA Brainを活用しています。
事業３の説明,AI技術を活用したSaaSプロダクトを開発・提供しています。具体的な製品として、自動議事録ツール「AI GIJIROKU」や音声対話ソリューション「AIコールセンター」などが挙げられます。,AI技術の研究開発にも力を入れており、自社開発のLLM（大規模言語モデル）「ABEJA LLM Series」を提供しています。,ミャンマーに拠点を置く「M Bridge」を通じて、日本のエンジニア不足問題や高騰するシステム開発費用の課題解決に取り組んでいます。Web開発を得意としています。アジアのIT人材育成センターを目指しており、ミャンマー拠点を通じて、アジアのIT人材育成にも力を入れています。,AIを活用し、契約書管理、請求書・領収書・注文書の管理などを行うサービスを提供しています。これらのサービスは、企業の業務効率化、ペーパーレス化、セキュリティ強化に貢献しています。,"データ分析やシステム構築、マーケティング戦略に関するコンサルティングを提供しています。
顧客企業の課題やニーズを理解し、データ活用戦略の策定から実行までを支援しています。
また、データ分析人材育成やデータガバナンス構築などのコンサルティングも提供しています。","* スタートアップ企業向けのエンジェル投資・資金調達支援
* プレシード及びシードフェーズでの支援","* 世界をつくるAIプラットフォームを一緒に作り上げる仲間を募集している。
* エンジニア、データサイエンティスト、デザイナーなど、様々な職種を募集。",IoTデバイスの導入・開発、データ収集・分析、システム構築、運用保守などを支援する事業。,AI総合研究所は、AI技術を活用した遺族向けのサービスを開発・提供しています。AI故人復活サービス以外にも、故人の思い出を整理・保存するサービスや、故人とのコミュニケーションを支援するサービスなども提供しています。,情報なし,Laboro.AIは、開発事業において高い品質と信頼性を担保するため、認証を取得しています。,- 上場企業の業績等の定量的なデータやアンケート等の定性的なデータを活用し、顧客ランクを生成することで営業効率向上を支援,"- 生成AI導入に関する戦略策定、活用方法の検討、導入支援などを提供
- 月額20万円からの生成AIコンサルティングサービスを提供",AIに関する情報提供,ビジネスインテリジェンス,Operation DX,コンサルティング
